english,japanese,category,active,learned
Could you send me the report by Friday?,金曜日までにレポートを送っていただけますか？,business,1,0
I would like to schedule a meeting for next week.,来週ミーティングを設定したいと思います。,business,1,0
Please feel free to contact me if you need anything.,何かあればいつでもご連絡ください。,business,1,0
Could you give me a brief summary of the project?,プロジェクトの概要を簡単に教えていただけますか？,business,1,0
I will get back to you as soon as possible.,できるだけ早くご連絡いたします。,business,1,0
Could you tell me where the nearest station is?,最寄りの駅はどこか教えていただけますか？,travel,1,0
I would like to check in to my room.,チェックインをお願いしたいのですが。,travel,1,0
Could you recommend a good local restaurant?,地元のおすすめのレストランを教えていただけますか？,travel,1,0
How long does it take to get to the airport?,空港までどのくらいかかりますか？,travel,1,0
Is there a convenience store nearby?,近くにコンビニはありますか？,travel,1,0
Could you say that again more slowly?,もう少しゆっくり言っていただけますか？,daily,1,0
What time does the shop open?,お店は何時に開きますか？,daily,1,0
I am not sure I understand what you mean.,おっしゃっていることがよく理解できていないかもしれません。,daily,1,0
Would you like to grab a coffee later?,後でコーヒーでもいかがですか？,daily,1,0
I have been studying English for about a year.,英語を勉強し始めて約1年になります。,daily,1,0
